"","key","m_y","patents_in_period","file_date","file_year","quarter","year","treat_date","unique_patents_in_period","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","previous_application_stripe","sum_patents","year_factor","repeat_factor"
"1","Vandersanden20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,0,16,"2020","0"
"2","Ensyn Biochar20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,0,13,"2021","0"
"3","Ekovilla20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,0,10,"2020","0"
"4","VEOLIA ES UK20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,847,NA,NA,"0",NA,0,0,0,1,1,"2023","1"
"5","Vaulted20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,0,5,"2022","0"
"6","Vaulted20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,1,5,"2023","1"
"7","Solugen20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,0,40,"2021","0"
"8","8 Rivers20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,0,77,"2021","0"
"9","Ecoera20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"South Sweden","biomass,biochar",4500,0,690,100,NA,NA,NA,NA,NA,NA,5000,NA,NA,2000,NA,NA,"0",NA,0,0,0,0,1,"2020","0"
"10","Climeworks20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"Iceland","DAC",50,0,1000,767.5,775,NA,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",NA,-7.5,-321.5,1,0,29,"2020","0"
"11","CarbonCure20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"North America","Storage",60000,1,1000,100,100,NA,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",NA,0,117500,1,0,26,"2020","0"
"12","Solid Carbon20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Cascadia Basin, Canada","mineralization,injection",10000,0,1000,2000,NA,190,NA,NA,NA,NA,NA,10000,3400,10000,NA,NA,"0",1810,0,0,0,0,1,"2021","0"
"13","Biorecro20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"North America / Europe","biomass,injection",50000,0,1000,99,NA,NA,NA,NA,NA,NA,50000,NA,NA,50000,NA,NA,"0",NA,0,0,0,0,1,"2020","0"
"14","Carbon Sequestration Inc20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"East Texas, USA","biomass,storage",71019,0,100,42.5,NA,NA,NA,NA,NA,NA,64215,NA,NA,64215,NA,NA,"0",NA,0,0,0,0,1,"2020","0"
"15","IndigoAg20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Midwest and Southern USA","soil,farming",550000,0,100,20,NA,NA,NA,NA,NA,NA,1e+05,NA,NA,1e+05,NA,NA,"0",NA,0,0,0,0,45,"2020","0"
"16","Emissol20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1272,NA,1272,583,647,30,12,NA,463,37,393,NA,NA,"0",0,0,0,0,0,6,"2022","0"
"17","Droneseed20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"WA, USA","forests,reforestation",31027,1,51,8.23,NA,NA,NA,NA,NA,NA,584,NA,NA,400,NA,NA,"0",NA,0,0,0,0,4,"2020","0"
"18","CarbonTo Stone20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"DAC",NA,NA,NA,394,394,393.3,150.6,243.3,0,0,NA,2250000,7750000,1269,846,0,"1",0.699999999999989,0,423,1,0,4,"2022","0"
"19","Mote20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,250,NA,420,NA,NA,NA,NA,NA,4000,1092,4000,NA,NA,"0",-170,0,0,0,0,4,"2022","0"
"20","Climate Foundation Marine Permaculture20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Pacific Ocean (near Phillippines)","ocean,macroalgae",1245,0,1000,600,NA,600,NA,NA,NA,NA,NA,1245,400,1245,NA,NA,"0",0,0,0,0,0,10,"2021","0"
"21","Ocean-Based Climate Solutions20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Pacific Ocean (near CA)","ocean,phytoplankton",693,0,1000,336.07,NA,NA,NA,NA,NA,NA,693,NA,NA,693,NA,NA,"0",NA,0,0,0,0,1,"2020","0"
"22","Ocean-based Climate Solutions20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Pacific Ocean (near CA)","ocean,phytoplankton",693,0,1000,336.07,NA,423,NA,NA,NA,NA,NA,251.5,8.5,251.5,NA,NA,"0",-86.93,0,0,0,1,1,"2021","1"
"23","Ocean-based Climate Solutions20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,279,NA,273,205,68,0,0,0,4910,69.2,4840.88,NA,NA,"0",6,0,0,0,0,1,"2022","0"
"24","8 Rivers - Origen20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,1300,1800,1000,170,830,0,0,NA,1711,570,1100,278,0,"1",300,-500,822,1,1,5,"2022","1"
"25","Origen20222",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Capture and storage",NA,NA,NA,1370,1800,1370,NA,NA,NA,NA,NA,6250,1925,4325,278,0,"1",0,-430,4047,1,1,5,"2022","1"
"26","Praan20214",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Mumbai, India","dac,mineralization",365,0,1000,800,NA,3000,NA,NA,NA,NA,NA,365,3.52,365,NA,NA,"0",-2200,0,0,0,0,2,"2021","0"
"27","Carbofex20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Tampere, Finland","biomass,biochar",2431,1,755,100,NA,NA,NA,NA,NA,NA,2500,NA,NA,2000,NA,NA,"0",NA,0,0,0,0,3,"2020","0"
"28","Carbofex20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,"Tampere, Finland","biomass,biochar",2431,1,755,100,NA,208.7,NA,NA,NA,NA,NA,1151,51,1151,NA,NA,"0",-108.7,0,0,0,1,3,"2021","1"
"29","Takachar20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4760,NA,NA,"0",NA,0,0,0,0,2,"2022","0"
"30","High Hopes Labs20233",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,129000,NA,NA,"0",NA,0,0,0,0,2,"2023","0"
"31","Running Tide20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"Atlantic Ocean","Ocean Alkalinity Enhancement",2000,0,800,250,250,150,NA,NA,NA,NA,NA,2000,85,2000,600,0,"1",100,0,1400,1,0,14,"2021","0"
"32","Mission Zero Technologies20212",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"United Kingdom","Capture and storage",365,0,1000,275,319,1000,NA,NA,NA,NA,NA,365,7.5,365,358,0,"1",-725,-44,7,1,0,5,"2021","0"
"33","Nitricity20224",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Biomass sinking",NA,NA,NA,50,0,70,NA,30,NA,NA,0,1600,0,2800000,0,250000,"1",-20,NA,NA,1,0,6,"2022","0"
"34","Charm Industrial20201",Jan 2020,NA,NA,NA,NA,NA,NA,NA,1,1,"CA, USA","Biomass injection",10000,0,1000,600,600,NA,NA,NA,NA,NA,10000,NA,NA,10000,416,0,"1",NA,0,9584,1,0,1,"2020","0"
