Year,column_name,percent_na,percent_non_na
2001,Amortization & depletion th USD,100,0
2001,Amortization th USD,100,0
2001,Capital Expenditures th USD,99.21259842519686,0.7874015748031411
2001,Cash and cash equivalents th USD,100,0
2001,Cash flow [Net Income before D&A] th USD,100,0
2001,Depreciation th USD,99.21259842519686,0.7874015748031411
2001,Equity in Net Earnings/Loss th USD,100,0
2001,Financing Cash Flow Items th USD,100,0
2001,ISIN number,100,0
2001,Investment in real estate th USD,100,0
2001,Listing status,100,0
2001,Loans & Borrowings th USD,99.21259842519686,0.7874015748031411
2001,"Long Term Debt, Net th USD",99.21259842519686,0.7874015748031411
2001,Market price - Year to date - High USD,95.2755905511811,4.7244094488189035
2001,Market price - Year to date - Low USD,95.2755905511811,4.7244094488189035
2001,"NACE Rev. 2, core code (4 digits)",35.43307086614173,64.56692913385827
2001,Net Income th USD,99.21259842519686,0.7874015748031411
2001,Net assets th USD,99.21259842519686,0.7874015748031411
2001,Net debt th USD,99.21259842519686,0.7874015748031411
2001,No of companies in corporate group,0,100
2001,Number of directors & managers,0,100
2001,Number of employees,99.21259842519686,0.7874015748031411
2001,Operating revenue (Turnover) th USD,99.21259842519686,0.7874015748031411
2001,Other Investing Cash Flow th USD,100,0
2001,Other non-operating and financial income (expenses) th USD,100,0
2001,P/L for period [=Net income] th USD,99.21259842519686,0.7874015748031411
2001,Previous company name Latin Alphabet,100,0
2001,Purchase of Fixed Assets th USD,99.21259842519686,0.7874015748031411
2001,Purchase of Investments th USD,100,0
2001,Purchase/Acquisition of Intangibles th USD,100,0
2001,Shareholders funds th USD,100,0
2001,"Short Term Debt, Net th USD",99.21259842519686,0.7874015748031411
2001,Software Development Costs th USD,100,0
2001,Solvency ratio (Asset based),99.21259842519686,0.7874015748031411
2001,Tax Identification Number (TIN),85.8267716535433,14.173228346456696
2001,Total Cash from Financing Activities th USD,99.21259842519686,0.7874015748031411
2001,Total Debt Issued th USD,100,0
2001,Total assets th USD,99.21259842519686,0.7874015748031411
2001,Total liabilities th USD,99.21259842519686,0.7874015748031411
2001,"US SIC, primary code(s)",35.43307086614173,64.56692913385827
2001,VAT/Tax number,91.33858267716536,8.661417322834637
2001,datinc,30.708661417322837,69.29133858267716
2002,Amortization & depletion th USD,99.21259842519686,0.7874015748031411
2002,Amortization th USD,100,0
2002,Capital Expenditures th USD,99.21259842519686,0.7874015748031411
2002,Cash and cash equivalents th USD,100,0
2002,Cash flow [Net Income before D&A] th USD,100,0
2002,Depreciation th USD,99.21259842519686,0.7874015748031411
2002,Equity in Net Earnings/Loss th USD,100,0
2002,Financing Cash Flow Items th USD,99.21259842519686,0.7874015748031411
2002,ISIN number,100,0
2002,Investment in real estate th USD,100,0
2002,Listing status,100,0
2002,Loans & Borrowings th USD,99.21259842519686,0.7874015748031411
2002,"Long Term Debt, Net th USD",99.21259842519686,0.7874015748031411
2002,Market price - Year to date - High USD,95.2755905511811,4.7244094488189035
2002,Market price - Year to date - Low USD,95.2755905511811,4.7244094488189035
2002,"NACE Rev. 2, core code (4 digits)",35.43307086614173,64.56692913385827
2002,Net Income th USD,99.21259842519686,0.7874015748031411
2002,Net assets th USD,99.21259842519686,0.7874015748031411
2002,Net debt th USD,99.21259842519686,0.7874015748031411
2002,No of companies in corporate group,0,100
2002,Number of directors & managers,0,100
2002,Number of employees,99.21259842519686,0.7874015748031411
2002,Operating revenue (Turnover) th USD,99.21259842519686,0.7874015748031411
2002,Other Investing Cash Flow th USD,100,0
2002,Other non-operating and financial income (expenses) th USD,100,0
2002,P/L for period [=Net income] th USD,99.21259842519686,0.7874015748031411
2002,Previous company name Latin Alphabet,100,0
2002,Purchase of Fixed Assets th USD,99.21259842519686,0.7874015748031411
2002,Purchase of Investments th USD,99.21259842519686,0.7874015748031411
2002,Purchase/Acquisition of Intangibles th USD,99.21259842519686,0.7874015748031411
2002,Shareholders funds th USD,100,0
2002,"Short Term Debt, Net th USD",99.21259842519686,0.7874015748031411
2002,Software Development Costs th USD,100,0
2002,Solvency ratio (Asset based),99.21259842519686,0.7874015748031411
2002,Tax Identification Number (TIN),85.8267716535433,14.173228346456696
2002,Total Cash from Financing Activities th USD,99.21259842519686,0.7874015748031411
2002,Total Debt Issued th USD,100,0
2002,Total assets th USD,99.21259842519686,0.7874015748031411
2002,Total liabilities th USD,99.21259842519686,0.7874015748031411
2002,"US SIC, primary code(s)",35.43307086614173,64.56692913385827
2002,VAT/Tax number,91.33858267716536,8.661417322834637
2002,datinc,30.708661417322837,69.29133858267716
2003,Amortization & depletion th USD,99.21259842519686,0.7874015748031411
2003,Amortization th USD,100,0
2003,Capital Expenditures th USD,99.21259842519686,0.7874015748031411
2003,Cash and cash equivalents th USD,100,0
2003,Cash flow [Net Income before D&A] th USD,100,0
2003,Depreciation th USD,99.21259842519686,0.7874015748031411
2003,Equity in Net Earnings/Loss th USD,99.21259842519686,0.7874015748031411
2003,Financing Cash Flow Items th USD,99.21259842519686,0.7874015748031411
2003,ISIN number,100,0
