"firm_name","Year","Source of financials","Number of employees","Shareholders funds th USD","Cash flow [Net Income before D&A] th USD","P/L for period [=Net income] th USD","Net Income th USD","Short Term Debt, Net th USD","Long Term Debt, Net th USD","Total Debt Issued th USD","Investment in real estate th USD","Cash and cash equivalents th USD","Operating revenue (Turnover) th USD","Total assets th USD","Solvency ratio (Asset based)","Net debt th USD","Net assets th USD","Total liabilities th USD","Loans & Borrowings th USD","Depreciation th USD","Amortization & depletion th USD","Other non-operating and financial income (expenses) th USD","Amortization th USD","Equity in Net Earnings/Loss th USD","Purchase of Fixed Assets th USD","Capital Expenditures th USD","Software Development Costs th USD","Purchase/Acquisition of Intangibles th USD","Purchase of Investments th USD","Other Investing Cash Flow th USD","Financing Cash Flow Items th USD","Total Cash from Financing Activities th USD","Inactive","Quoted","Branch","OwnData","Woco","Country ISO code","NACE Rev. 2, core code (4 digits)","Consolidation code","VAT/Tax number","Tax Identification Number (TIN)","Ticker symbol","datinc","Type of entity","Size classification","No of companies in corporate group","Entity type","Number of directors & managers","US SIC, primary code(s)","ISIN number","Previous company name Latin Alphabet","Listing status","Market price - Year to date - High USD","Market price - Year to date - Low USD"
"KCR INVESTMENTS N.V.",2024,NA,20281,-748999.999998894,NA,938000.000001366,NA,NA,NA,NA,NA,NA,2875999.99999878,3301999.99999882,-22.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2023,NA,19390,-463999.999999786,NA,873000.000000456,NA,NA,NA,NA,NA,NA,2502999.99999916,3286999.99999832,-14.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2022,NA,19192,-1138999.99999955,NA,307999.999997951,NA,NA,NA,NA,NA,NA,1613999.99999821,2414999.9999993,-47.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2021,NA,19388,-1212999.99999982,NA,282000.000001905,NA,NA,NA,NA,NA,NA,1858999.99999877,2454999.99999715,-49.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2020,NA,NA,-1188999.99999896,NA,52000.0000002907,NA,NA,NA,NA,NA,NA,2223999.99999975,2278999.99999893,-52.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"KCR INVESTMENTS N.V.",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
