"","year","quarter","stat","awarded","lifetimeabate","contractprice","estcost","totem","offerq","contractq","costdecrease","pdiff","qdiff","totpatents","postpatents"
"1",2020,1,"mean",1,NA,387.5,NA,NA,32550.25,1642.95,NA,-8.125,30907.3,14.75,4.75
"2",2020,1,"median",1,NA,350,NA,NA,5100,1458,NA,-3.75,4631.25,14.5,4
"3",2020,1,"sd",0,NA,353.847895759369,NA,NA,58486.3656497535,1510.05654750631,NA,11.7924764150708,57985.5706590873,14.7958327466441,3.86221007541882
"4",2021,2,"mean",1,2013.33333333333,742.166666666667,3825.5,39.4166666666667,2013.33333333333,672.5,-1783,1300.33333333333,1340.83333333333,4.66666666666667,3.33333333333333
"5",2021,2,"median",1,678.5,289.5,616.5,24.5,678.5,482.5,-50,0,15.5,3,2
"6",2021,2,"sd",0,3160.84834604045,782.663252405954,7939.60940475034,39.0824982142476,3160.84834604045,480.502133189854,4036.62780052855,3255.93769391656,2740.80721078055,5.08592829940284,3.98329846567724
"7",2021,4,"mean",1,1921,830,1433.25,119.25,1921,1102.75,-583.805,19.445,818.25,3,3
"8",2021,4,"median",1,1945,600,1391.5,45,1945,607,-752.61,0,269,2.5,2.5
"9",2021,4,"sd",0,1519.60214091277,777.988860245869,400.735469688754,153.957515784929,1519.60214091277,1239.70194670601,391.696147670615,38.89,1333.88014828919,2.16024689946929,2.16024689946929
"10",2022,2,"mean",1,1156.03333333333,1045,1169.83333333333,437.318333333333,1226.48333333333,330.333333333333,-55.235,-380.482,1029.5,1.66666666666667,0.333333333333333
"11",2022,2,"median",1,694.5,1185,1000,36.25,1050,321.5,0,-1,822,1,0
"12",2022,2,"sd",0,1194.47679201677,689.166162837381,656.414630143682,787.49556063299,1050.29771096897,225.82707248394,385.448454854861,610.351994032951,1028.34746073494,1.63299316185545,0.516397779494322
"13",2022,4,"mean",1,397730.666666667,523.722222222222,608.588888888889,868387.426111111,311920.666666667,533.444444444444,15.9666666666667,35.3571428571429,237.857142857143,1.88888888888889,0.222222222222222
"14",2022,4,"median",1,2198,480,500,60,1000,410,0,0,327,1,0
"15",2022,4,"sd",0,819350.594317384,444.45297214041,442.918018499035,2580693.43427754,933029.944503792,454.810430594745,55.537239758562,93.7668714977534,326.027825280516,1.83333333333333,0.440958551844098
"16",2023,3,"mean",1,NA,876.5,530,NA,1182.91625,645.5625,0,-28.7535714285714,523.19,1.25,0
"17",2023,3,"median",1,NA,637.5,530,NA,743.5,380,0,0,1,1,0
"18",2023,3,"sd",0,NA,646.609000865283,NA,NA,1263.79649953028,564.116414551701,NA,197.603576018994,1120.61293565345,1,0
