"","applicant_name","year","quarter","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_7","classification_8","inventor_1","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","treat_date"
"1","Vandersanden",2020,1,"Brick clay kneaded and rolled on sand-covered conveyor - using diabolo-shaped roller for complete sand-coating before placing in mould",NA,NA,"BE-892313-A",NA,1982-03-01,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"2","Ensyn Biochar",2021,2,"Pyrolysis of biomass to produce maximum liquid yields",NA,NA,"CA-1332580-C",NA,1986-07-30,1986,NA,NA,NA,NA,NA,NA,NA,NA,"Donald S. Scott",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"3","Ensyn Biochar",2021,2,"Method and apparatus for rapid thermal processing",NA,NA,"CA-1283880-C",NA,1987-05-07,1987,NA,NA,NA,NA,NA,NA,NA,NA,"Dave A. Berg",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"4","Ensyn Biochar",2021,2,"Method and apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"CA-2009021-C",NA,1990-01-31,1990,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"5","Ensyn Biochar",2021,2,"Water-soluble resin and resin product made by that method",NA,NA,"CA-2062780-A1",NA,1990-07-12,1990,NA,NA,NA,NA,NA,NA,NA,NA,"D. Andrew Himmelblau",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"6","Ensyn Biochar",2021,2,"Process for the thermal conversion of biomass to liquids",NA,NA,"US-5605551-A",NA,1993-11-24,1993,NA,NA,NA,NA,NA,NA,NA,NA,"Donald S. Scott, Jan Piskorz, Desmond Radlein, Piotr Majerski",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"7","Ekovilla",2020,1,"FIBROUS PRODUCTS AND METHOD FOR THE PRODUCTION OF FLAME-RETARDANT FIBROUS PRODUCTS",NA,NA,"DE-69405385-D1",NA,1994-04-15,1994,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,21.5,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",0,0,0,0,10,2020-05-18
"8","Ensyn Biochar",2021,2,"Method and apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"US-5792340-A",NA,1995-04-07,1995,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"9","Ensyn Biochar",2021,2,"Natural resin formulations",NA,NA,"CA-2228418-A1",NA,1998-01-30,1998,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert Graham",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"10","Ensyn Biochar",2021,2,"Grill flavor and process for its preparation",NA,NA,"DE-69829910-T2",NA,1998-03-10,1998,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Greely Ontario Freel",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"11","Ensyn Biochar",2021,2,"Apparatus for a circulating bed transport fast pyrolysis reactor system",NA,NA,"US-5961786-A",NA,1998-06-15,1998,NA,NA,NA,NA,NA,NA,NA,NA,"Barry A. Freel, Robert G. Graham",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
"12","Vandersanden",2020,1,"Ageing process for brick",NA,NA,"EP-0894590-A1",NA,1998-07-24,1998,NA,NA,NA,NA,NA,NA,NA,NA,"Camille Vanpee",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"13","Ensyn Biochar",2021,2,"Natural resin formulations",NA,NA,"CA-2319416-A1",NA,1999-01-29,1999,NA,NA,NA,NA,NA,NA,NA,NA,"Barry Freel, Robert Graham, Regi Giroux",0,1,0,"Canada","biomass,asphalt",338,0,547,600,NA,600,NA,NA,NA,NA,NA,300,40,300,NA,NA,"0",0,0,0,0,13,2021-05-17
